,GS coll mean CCC,GS coll CCC std,GS Noncoll mean CCC,GS Noncoll CCC std,a1 coll mean CCC,a1 coll CCC std,a1 Noncoll mean CCC,a1 Noncoll CCC std,a2 coll mean CCC,a2 coll CCC std,a2 Noncoll mean CCC,a2 Noncoll CCC std,a3 coll mean CCC,a3 coll CCC std,a3 Noncoll mean CCC,a3 Noncoll CCC std,a4 coll mean CCC,a4 coll CCC std,a4 Noncoll mean CCC,a4 Noncoll CCC std,a5 coll mean CCC,a5 coll CCC std,a5 Noncoll mean CCC,a5 Noncoll CCC std,coll mean validation CCC,coll CCC validation std,Noncoll mean validation CCC,Noncoll CCC validation std,coll annotator std,noncoll annotator std,coll-noncoll-GS,Ann. as feature effect coll,Ann. as feature effect noncoll
FinnSentiment_Valence,0.394,0.009,0.394,0.011,0.521,0.014,0.519,0.022,0.367,0.013,0.364,0.013,0.268,0.015,0.274,0.013,0.221,0.01,0.224,0.009,0.226,0.013,0.226,0.01,0.314,0.034,0.309,0.036,0.126,0.124,0.0,0.324,0.336
Lexicon_Lingnorm_FinnSentiment_Valence,0.26,0.015,0.279,0.021,0.273,0.009,0.293,0.031,0.231,0.01,0.236,0.02,0.201,0.01,0.225,0.014,0.164,0.011,0.156,0.006,0.222,0.016,0.239,0.007,0.279,0.032,0.283,0.03,0.04,0.049,-0.019000000000000017,0.11200000000000002,0.12300000000000003
Lexicon_eGeMAPS_Valence,0.538,0.012,0.536,0.016,0.382,0.008,0.381,0.015,0.449,0.01,0.442,0.013,0.421,0.008,0.42,0.016,0.514,0.006,0.502,0.014,0.479,0.014,0.474,0.013,0.47,0.02,0.473,0.02,0.051,0.047,0.0020000000000000018,0.02400000000000002,0.02200000000000002
ModernBERT_Lingnorm_Valence,0.214,0.022,0.203,0.014,0.208,0.022,0.199,0.009,0.188,0.014,0.167,0.011,0.173,0.016,0.171,0.014,0.126,0.018,0.125,0.01,0.206,0.022,0.205,0.019,0.242,0.028,0.23,0.02,0.034,0.032,0.010999999999999982,0.014999999999999986,-0.00899999999999998
ModernBERT_Lexicon_FinnSentiment,0.174,0.016,0.198,0.024,0.179,0.012,0.188,0.019,0.152,0.012,0.156,0.024,0.145,0.005,0.158,0.021,0.092,0.012,0.118,0.019,0.173,0.016,0.205,0.027,0.21,0.046,0.213,0.03,0.035,0.033,-0.02400000000000002,,
Lexicon_Lingnorm_ExHuBERT_eGeMAPS_Valence,0.669,0.016,0.683,0.013,0.467,0.019,0.484,0.022,0.553,0.014,0.568,0.018,0.566,0.016,0.57,0.014,0.602,0.016,0.6,0.016,0.627,0.011,0.63,0.013,0.551,0.018,0.555,0.021,0.061,0.054,-0.014000000000000012,-0.01100000000000001,0.01200000000000001
eGeMAPS,0.536,0.015,0.536,0.015,0.368,0.014,0.368,0.014,0.439,0.014,0.439,0.014,0.417,0.011,0.417,0.011,0.521,0.014,0.521,0.014,0.473,0.007,0.473,0.007,0.468,0.017,0.468,0.017,0.058,0.058,0.0,,
Lingnorm_ExHuBERT_FinnSentiment,0.663,0.01,0.642,0.015,0.465,0.004,0.449,0.016,0.547,0.004,0.529,0.011,0.552,0.004,0.545,0.009,0.568,0.006,0.548,0.011,0.615,0.007,0.604,0.014,0.517,0.016,0.518,0.021,0.054,0.056,0.02100000000000002,,
Lingnorm,0.14,0.008,0.156,0.018,0.115,0.011,0.123,0.011,0.12,0.006,0.122,0.014,0.122,0.01,0.146,0.012,0.108,0.004,0.098,0.013,0.172,0.011,0.184,0.012,0.205,0.025,0.221,0.027,0.025,0.032,-0.015999999999999986,,
ModernBERT_ExHuBERT_eGeMAPS_FinnSentiment,0.676,0.023,0.677,0.017,0.492,0.024,0.495,0.019,0.564,0.025,0.563,0.018,0.568,0.007,0.574,0.01,0.586,0.007,0.598,0.006,0.613,0.011,0.622,0.012,0.547,0.015,0.552,0.014,0.045,0.048,-0.0010000000000000009,,
ModernBERT_Valence,0.205,0.008,0.214,0.033,0.206,0.012,0.214,0.03,0.184,0.014,0.178,0.023,0.173,0.015,0.184,0.028,0.101,0.015,0.125,0.01,0.199,0.014,0.209,0.024,0.234,0.033,0.225,0.031,0.042,0.035,-0.009000000000000008,0.010999999999999982,0.009000000000000008
Lexicon_Lingnorm,0.143,0.012,0.147,0.011,0.117,0.01,0.123,0.005,0.115,0.01,0.117,0.009,0.125,0.013,0.141,0.012,0.102,0.005,0.084,0.01,0.174,0.011,0.184,0.013,0.193,0.025,0.204,0.033,0.028,0.037,-0.0040000000000000036,,
Lexicon_ExHuBERT_eGeMAPS_FinnSentiment,0.668,0.019,0.677,0.015,0.464,0.012,0.472,0.015,0.552,0.007,0.557,0.005,0.563,0.008,0.568,0.01,0.6,0.017,0.6,0.013,0.624,0.011,0.628,0.007,0.545,0.014,0.547,0.021,0.061,0.059,-0.009000000000000008,,
Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.667,0.017,0.675,0.02,0.471,0.012,0.483,0.023,0.553,0.007,0.559,0.023,0.562,0.011,0.567,0.009,0.594,0.012,0.6,0.013,0.616,0.009,0.625,0.012,0.551,0.024,0.551,0.021,0.056,0.054,-0.008000000000000007,0.0030000000000000027,0.0
Lexicon_Lingnorm_ExHuBERT_eGeMAPS,0.68,0.027,0.671,0.011,0.47,0.034,0.469,0.019,0.553,0.022,0.551,0.009,0.562,0.021,0.561,0.014,0.601,0.019,0.594,0.017,0.624,0.012,0.623,0.013,0.545,0.019,0.552,0.02,0.059,0.058,0.009000000000000008,,
ModernBERT_Lingnorm_ExHuBERT_eGeMAPS,0.663,0.012,0.66,0.029,0.484,0.006,0.478,0.012,0.553,0.006,0.552,0.016,0.57,0.009,0.555,0.008,0.588,0.008,0.582,0.015,0.62,0.009,0.606,0.018,0.547,0.019,0.539,0.016,0.051,0.048,0.0030000000000000027,,
ModernBERT_Lexicon_Valence,0.204,0.015,0.224,0.03,0.202,0.009,0.218,0.023,0.176,0.01,0.184,0.021,0.166,0.013,0.189,0.03,0.113,0.014,0.133,0.014,0.199,0.013,0.225,0.02,0.232,0.037,0.233,0.037,0.036,0.036,-0.020000000000000018,0.014999999999999986,0.021999999999999992
ModernBERT,0.194,0.022,0.205,0.024,0.186,0.022,0.196,0.021,0.171,0.016,0.169,0.016,0.167,0.018,0.179,0.02,0.103,0.021,0.129,0.015,0.198,0.019,0.215,0.022,0.218,0.035,0.204,0.036,0.036,0.032,-0.010999999999999982,,
Lexicon_eGeMAPS,0.514,0.034,0.514,0.033,0.359,0.02,0.36,0.018,0.424,0.028,0.425,0.028,0.402,0.021,0.402,0.019,0.5,0.018,0.496,0.02,0.456,0.019,0.462,0.025,0.465,0.017,0.465,0.014,0.054,0.052,0.0,,
ModernBERT_Lingnorm_FinnSentiment_Valence,0.22,0.031,0.232,0.013,0.215,0.03,0.232,0.011,0.193,0.021,0.188,0.012,0.185,0.024,0.192,0.015,0.126,0.024,0.138,0.013,0.221,0.023,0.227,0.015,0.244,0.033,0.231,0.018,0.038,0.038,-0.01200000000000001,0.022999999999999993,0.028999999999999998
Lingnorm_ExHuBERT_eGeMAPS_Valence,0.679,0.024,0.689,0.01,0.474,0.015,0.481,0.014,0.557,0.019,0.561,0.017,0.573,0.019,0.578,0.008,0.605,0.014,0.612,0.006,0.634,0.02,0.634,0.016,0.551,0.015,0.551,0.017,0.061,0.059,-0.009999999999999898,0.0010000000000000009,0.02399999999999991
ModernBERT_Lingnorm_ExHuBERT,0.639,0.017,0.64,0.013,0.462,0.015,0.47,0.007,0.529,0.016,0.532,0.008,0.536,0.006,0.543,0.011,0.533,0.007,0.543,0.005,0.587,0.012,0.599,0.011,0.51,0.02,0.511,0.023,0.044,0.046,-0.0010000000000000009,,
Lingnorm_eGeMAPS,0.536,0.027,0.525,0.028,0.38,0.021,0.375,0.02,0.44,0.029,0.433,0.02,0.426,0.018,0.418,0.021,0.516,0.024,0.508,0.018,0.48,0.018,0.475,0.018,0.482,0.024,0.481,0.026,0.052,0.052,0.01100000000000001,,
Lingnorm_ExHuBERT_Valence,0.635,0.024,0.665,0.008,0.44,0.024,0.463,0.011,0.523,0.026,0.547,0.003,0.54,0.017,0.563,0.008,0.557,0.016,0.566,0.012,0.598,0.018,0.617,0.012,0.525,0.023,0.532,0.025,0.058,0.056,-0.030000000000000027,-0.025000000000000022,-0.0020000000000000018
ModernBERT_Lexicon_ExHuBERT_Valence,0.638,0.019,0.636,0.014,0.464,0.009,0.458,0.013,0.531,0.007,0.526,0.015,0.541,0.006,0.537,0.01,0.538,0.009,0.541,0.015,0.595,0.01,0.588,0.013,0.517,0.029,0.509,0.026,0.047,0.047,0.0020000000000000018,0.027000000000000024,-0.0020000000000000018
ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.681,0.011,0.688,0.02,0.475,0.013,0.481,0.023,0.563,0.008,0.562,0.016,0.573,0.004,0.575,0.011,0.605,0.009,0.606,0.019,0.628,0.008,0.629,0.009,0.553,0.017,0.551,0.018,0.058,0.057,-0.006999999999999895,0.0020000000000000018,0.004999999999999893
ModernBERT_Lexicon_eGeMAPS_FinnSentiment,0.543,0.021,0.538,0.032,0.397,0.019,0.393,0.024,0.446,0.018,0.445,0.019,0.43,0.022,0.437,0.022,0.488,0.016,0.5,0.02,0.487,0.02,0.489,0.022,0.47,0.037,0.467,0.025,0.039,0.043,0.0050000000000000044,,
Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,0.664,0.03,0.675,0.018,0.461,0.018,0.47,0.012,0.546,0.017,0.552,0.006,0.56,0.023,0.568,0.01,0.595,0.02,0.6,0.015,0.621,0.02,0.627,0.009,0.546,0.019,0.548,0.023,0.061,0.06,-0.01100000000000001,,
ExHuBERT_Valence,0.661,0.014,0.661,0.014,0.458,0.019,0.458,0.019,0.539,0.014,0.539,0.014,0.557,0.002,0.557,0.002,0.568,0.01,0.568,0.01,0.615,0.01,0.615,0.01,0.528,0.028,0.528,0.028,0.057,0.057,0.0,0.01100000000000001,0.01100000000000001
Lexicon_Lingnorm_ExHuBERT_FinnSentiment_Valence,0.649,0.022,0.652,0.007,0.451,0.011,0.457,0.018,0.53,0.016,0.535,0.014,0.546,0.016,0.555,0.009,0.559,0.02,0.559,0.01,0.604,0.02,0.616,0.009,0.52,0.032,0.52,0.033,0.056,0.057,-0.0030000000000000027,0.01100000000000001,0.0030000000000000027
ModernBERT_Lexicon_ExHuBERT_FinnSentiment,0.635,0.02,0.632,0.014,0.462,0.02,0.467,0.013,0.532,0.016,0.53,0.015,0.534,0.015,0.544,0.008,0.533,0.013,0.54,0.011,0.592,0.012,0.598,0.011,0.506,0.036,0.509,0.028,0.046,0.047,0.0030000000000000027,,
ModernBERT_eGeMAPS_Valence,0.502,0.04,0.53,0.027,0.378,0.03,0.395,0.022,0.42,0.031,0.439,0.02,0.417,0.031,0.428,0.025,0.477,0.03,0.5,0.019,0.458,0.029,0.486,0.02,0.471,0.039,0.474,0.027,0.038,0.043,-0.028000000000000025,-0.03300000000000003,0.0020000000000000018
ModernBERT_Lexicon_Lingnorm_eGeMAPS,0.524,0.016,0.518,0.031,0.392,0.012,0.384,0.022,0.437,0.012,0.429,0.023,0.421,0.01,0.419,0.027,0.484,0.009,0.487,0.012,0.475,0.014,0.476,0.021,0.467,0.034,0.466,0.024,0.038,0.042,0.006000000000000005,,
Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.673,0.012,0.674,0.024,0.465,0.017,0.478,0.029,0.551,0.015,0.562,0.022,0.566,0.015,0.561,0.017,0.596,0.008,0.59,0.017,0.622,0.008,0.623,0.012,0.551,0.018,0.55,0.018,0.06,0.054,-0.0010000000000000009,0.018000000000000016,-0.007000000000000006
ExHuBERT_eGeMAPS_Valence,0.688,0.007,0.688,0.007,0.474,0.015,0.474,0.015,0.564,0.016,0.564,0.016,0.58,0.008,0.58,0.008,0.612,0.005,0.612,0.005,0.634,0.006,0.634,0.006,0.552,0.019,0.552,0.019,0.061,0.061,0.0,0.0019999999999998908,0.0019999999999998908
