,GS coll mean CCC,GS coll CCC std,GS Noncoll mean CCC,GS Noncoll CCC std,a1 coll mean CCC,a1 coll CCC std,a1 Noncoll mean CCC,a1 Noncoll CCC std,a2 coll mean CCC,a2 coll CCC std,a2 Noncoll mean CCC,a2 Noncoll CCC std,a3 coll mean CCC,a3 coll CCC std,a3 Noncoll mean CCC,a3 Noncoll CCC std,a4 coll mean CCC,a4 coll CCC std,a4 Noncoll mean CCC,a4 Noncoll CCC std,a5 coll mean CCC,a5 coll CCC std,a5 Noncoll mean CCC,a5 Noncoll CCC std,coll mean validation CCC,coll CCC validation std,Noncoll mean validation CCC,Noncoll CCC validation std,coll annotator std,noncoll annotator std,coll-noncoll-GS,Ann. as feature effect coll,Ann. as feature effect noncoll
ModernBERT_Lexicon_ExHuBERT_eGeMAPS,0.672,0.006,0.686,0.023,0.486,0.015,0.498,0.021,0.558,0.015,0.566,0.021,0.567,0.011,0.567,0.01,0.586,0.009,0.588,0.01,0.617,0.004,0.621,0.016,0.55,0.021,0.55,0.02,0.049,0.045,-0.014000000000000012,,
Lingnorm_ExHuBERT_eGeMAPS,0.678,0.014,0.665,0.015,0.47,0.017,0.474,0.019,0.558,0.013,0.557,0.011,0.569,0.006,0.564,0.019,0.603,0.007,0.6,0.018,0.629,0.006,0.623,0.011,0.552,0.015,0.546,0.017,0.06,0.057,0.013000000000000012,,
ModernBERT_ExHuBERT_FinnSentiment_Valence,0.639,0.009,0.629,0.029,0.474,0.015,0.465,0.011,0.54,0.011,0.526,0.011,0.548,0.004,0.536,0.013,0.54,0.004,0.539,0.012,0.604,0.011,0.584,0.014,0.523,0.031,0.51,0.018,0.046,0.043,0.010000000000000009,0.008000000000000007,-0.027000000000000024
eGeMAPS_Valence,0.508,0.03,0.508,0.03,0.363,0.026,0.363,0.026,0.418,0.03,0.418,0.03,0.405,0.024,0.405,0.024,0.499,0.018,0.499,0.018,0.46,0.025,0.46,0.025,0.478,0.024,0.478,0.024,0.052,0.052,0.0,-0.028000000000000025,-0.028000000000000025
ModernBERT_Lexicon_Lingnorm_ExHuBERT_eGeMAPS_Valence,0.675,0.025,0.671,0.014,0.484,0.011,0.485,0.019,0.556,0.02,0.553,0.018,0.568,0.012,0.564,0.011,0.589,0.015,0.586,0.006,0.618,0.019,0.616,0.005,0.553,0.02,0.549,0.017,0.05,0.049,0.0040000000000000036,0.0050000000000000044,-0.016999999999999904
ModernBERT_Lexicon_Lingnorm_eGeMAPS_Valence,0.537,0.018,0.528,0.03,0.395,0.017,0.393,0.025,0.447,0.014,0.434,0.023,0.428,0.018,0.425,0.023,0.481,0.015,0.491,0.009,0.482,0.008,0.478,0.016,0.472,0.025,0.465,0.028,0.037,0.04,0.009000000000000008,0.013000000000000012,0.010000000000000009
ModernBERT_ExHuBERT_eGeMAPS_Valence,0.665,0.029,0.68,0.015,0.488,0.015,0.492,0.013,0.561,0.022,0.564,0.02,0.567,0.016,0.578,0.012,0.582,0.016,0.603,0.007,0.621,0.019,0.634,0.007,0.55,0.021,0.545,0.014,0.048,0.053,-0.015000000000000013,-0.014000000000000012,0.007000000000000006
ModernBERT_Lexicon_ExHuBERT_eGeMAPS_Valence,0.669,0.009,0.675,0.007,0.484,0.019,0.486,0.011,0.552,0.02,0.552,0.009,0.568,0.012,0.567,0.009,0.586,0.006,0.589,0.003,0.615,0.012,0.613,0.008,0.552,0.024,0.549,0.018,0.049,0.048,-0.006000000000000005,-0.0030000000000000027,-0.01100000000000001
Lexicon_FinnSentiment_Valence,0.353,0.009,0.329,0.013,0.428,0.02,0.409,0.027,0.328,0.008,0.306,0.018,0.26,0.007,0.245,0.006,0.195,0.008,0.168,0.008,0.239,0.01,0.236,0.006,0.295,0.041,0.3,0.041,0.091,0.091,0.023999999999999966,0.238,0.233
Lingnorm_eGeMAPS_FinnSentiment_Valence,0.521,0.027,0.527,0.033,0.379,0.017,0.382,0.021,0.428,0.021,0.43,0.024,0.413,0.025,0.418,0.021,0.495,0.019,0.489,0.02,0.465,0.016,0.47,0.018,0.494,0.024,0.49,0.023,0.045,0.042,-0.006000000000000005,-0.007000000000000006,-0.008000000000000007
Lexicon_Valence,0.361,0.009,0.341,0.01,0.428,0.015,0.417,0.024,0.331,0.009,0.318,0.013,0.269,0.011,0.249,0.006,0.201,0.005,0.181,0.006,0.249,0.01,0.243,0.004,0.304,0.032,0.306,0.035,0.088,0.09,0.019999999999999962,0.258,0.24800000000000003
ModernBERT_Lingnorm_ExHuBERT_FinnSentiment,0.629,0.021,0.619,0.011,0.461,0.016,0.451,0.009,0.524,0.016,0.515,0.004,0.531,0.015,0.532,0.012,0.527,0.018,0.536,0.007,0.588,0.019,0.588,0.015,0.513,0.027,0.508,0.02,0.045,0.049,0.010000000000000009,,
ModernBERT_Lingnorm_ExHuBERT_Valence,0.627,0.031,0.652,0.019,0.458,0.023,0.467,0.016,0.525,0.028,0.535,0.019,0.527,0.02,0.55,0.008,0.525,0.015,0.548,0.011,0.583,0.019,0.605,0.014,0.511,0.025,0.514,0.022,0.044,0.049,-0.025000000000000022,-0.01200000000000001,0.01200000000000001
Lexicon_Lingnorm_ExHuBERT_Valence,0.643,0.015,0.665,0.014,0.449,0.012,0.459,0.01,0.526,0.011,0.544,0.01,0.546,0.008,0.565,0.007,0.551,0.012,0.566,0.007,0.603,0.01,0.625,0.014,0.523,0.029,0.523,0.03,0.056,0.06,-0.02200000000000002,0.013000000000000012,0.01100000000000001
eGeMAPS_FinnSentiment,0.53,0.031,0.527,0.026,0.375,0.022,0.381,0.017,0.434,0.029,0.438,0.022,0.41,0.024,0.419,0.018,0.516,0.022,0.509,0.016,0.465,0.026,0.48,0.017,0.472,0.026,0.474,0.026,0.054,0.051,0.0030000000000000027,,
ModernBERT_Lexicon_eGeMAPS,0.523,0.027,0.515,0.02,0.386,0.022,0.385,0.018,0.436,0.023,0.434,0.019,0.419,0.027,0.409,0.013,0.489,0.017,0.489,0.008,0.468,0.016,0.474,0.009,0.466,0.022,0.466,0.027,0.04,0.044,0.008000000000000007,,
Lexicon_Lingnorm_eGeMAPS_FinnSentiment,0.518,0.03,0.524,0.024,0.373,0.021,0.37,0.021,0.428,0.029,0.428,0.021,0.411,0.021,0.409,0.016,0.497,0.017,0.497,0.017,0.468,0.017,0.474,0.015,0.481,0.02,0.477,0.028,0.048,0.051,-0.006000000000000005,,
ModernBERT_Lingnorm_FinnSentiment,0.197,0.019,0.203,0.019,0.194,0.024,0.207,0.012,0.175,0.016,0.169,0.015,0.165,0.016,0.18,0.011,0.111,0.021,0.121,0.011,0.199,0.012,0.214,0.016,0.226,0.021,0.216,0.017,0.035,0.037,-0.006000000000000005,,
ExHuBERT_eGeMAPS_FinnSentiment,0.679,0.012,0.683,0.006,0.471,0.024,0.474,0.016,0.556,0.017,0.558,0.014,0.57,0.012,0.57,0.013,0.603,0.014,0.609,0.007,0.63,0.006,0.629,0.011,0.545,0.015,0.548,0.017,0.06,0.06,-0.0040000000000000036,,
Lingnorm_ExHuBERT,0.66,0.007,0.667,0.013,0.454,0.014,0.456,0.02,0.539,0.01,0.542,0.016,0.547,0.009,0.553,0.013,0.566,0.01,0.563,0.008,0.614,0.009,0.617,0.012,0.523,0.019,0.519,0.021,0.058,0.058,-0.007000000000000006,,
Lexicon_ExHuBERT_Valence,0.657,0.017,0.649,0.02,0.467,0.01,0.45,0.015,0.546,0.011,0.534,0.012,0.559,0.005,0.55,0.011,0.563,0.012,0.559,0.016,0.613,0.008,0.609,0.022,0.517,0.028,0.519,0.023,0.053,0.058,0.008000000000000007,0.013000000000000012,-0.0010000000000000009
Lexicon_ExHuBERT,0.644,0.015,0.65,0.013,0.443,0.019,0.448,0.015,0.524,0.014,0.532,0.015,0.537,0.012,0.548,0.013,0.549,0.013,0.554,0.017,0.597,0.014,0.607,0.017,0.507,0.024,0.512,0.03,0.056,0.058,-0.006000000000000005,,
ModernBERT_Lexicon_ExHuBERT_FinnSentiment_Valence,0.649,0.012,0.652,0.015,0.481,0.013,0.471,0.014,0.545,0.014,0.54,0.017,0.549,0.007,0.546,0.01,0.543,0.013,0.551,0.012,0.602,0.005,0.603,0.012,0.517,0.032,0.513,0.024,0.043,0.047,-0.0030000000000000027,0.014000000000000012,0.020000000000000018
ModernBERT_eGeMAPS_FinnSentiment,0.548,0.017,0.529,0.019,0.399,0.018,0.406,0.012,0.446,0.013,0.444,0.012,0.438,0.019,0.427,0.016,0.493,0.014,0.505,0.013,0.488,0.01,0.476,0.019,0.466,0.033,0.464,0.026,0.039,0.039,0.019000000000000017,,
ModernBERT_Lexicon_Lingnorm_ExHuBERT_Valence,0.623,0.012,0.629,0.017,0.45,0.01,0.452,0.016,0.516,0.012,0.521,0.02,0.523,0.015,0.531,0.013,0.525,0.015,0.537,0.013,0.581,0.011,0.587,0.014,0.508,0.026,0.506,0.029,0.047,0.048,-0.006000000000000005,0.006000000000000005,-0.01200000000000001
Lexicon_Lingnorm_eGeMAPS,0.521,0.017,0.523,0.011,0.361,0.011,0.363,0.015,0.428,0.016,0.427,0.02,0.41,0.008,0.408,0.009,0.502,0.015,0.497,0.006,0.472,0.011,0.48,0.01,0.481,0.026,0.477,0.022,0.055,0.054,-0.0020000000000000018,,
ModernBERT_Lexicon_Lingnorm_ExHuBERT,0.617,0.03,0.641,0.009,0.448,0.018,0.464,0.011,0.515,0.012,0.529,0.01,0.522,0.012,0.543,0.008,0.525,0.011,0.548,0.008,0.575,0.017,0.603,0.006,0.502,0.026,0.504,0.022,0.045,0.05,-0.02400000000000002,,
ModernBERT_eGeMAPS_FinnSentiment_Valence,0.547,0.032,0.516,0.037,0.408,0.017,0.399,0.028,0.449,0.02,0.438,0.026,0.437,0.025,0.425,0.034,0.497,0.01,0.495,0.014,0.485,0.026,0.469,0.024,0.482,0.034,0.477,0.03,0.036,0.038,0.031000000000000028,-0.0010000000000000009,-0.013000000000000012
ModernBERT_Lexicon_Lingnorm_eGeMAPS_FinnSentiment_Valence,0.542,0.012,0.551,0.011,0.41,0.019,0.42,0.011,0.453,0.005,0.459,0.005,0.431,0.015,0.434,0.018,0.498,0.015,0.502,0.014,0.484,0.009,0.496,0.017,0.47,0.035,0.464,0.029,0.037,0.036,-0.009000000000000008,0.029000000000000026,0.018000000000000016
ModernBERT_Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.668,0.021,0.665,0.011,0.486,0.007,0.483,0.018,0.553,0.01,0.549,0.017,0.567,0.02,0.555,0.009,0.587,0.014,0.584,0.005,0.62,0.016,0.614,0.012,0.55,0.02,0.547,0.02,0.05,0.049,0.0030000000000000027,0.0010000000000000009,-0.007000000000000006
FinnSentiment,0.07,0.007,0.058,0.006,0.149,0.012,0.141,0.01,0.072,0.009,0.047,0.006,0.028,0.005,0.03,0.004,0.013,0.007,0.014,0.008,0.02,0.006,0.008,0.007,0.1,0.035,0.097,0.048,0.056,0.054,0.012000000000000004,,
ModernBERT_Lexicon_Lingnorm_eGeMAPS_FinnSentiment,0.513,0.02,0.533,0.023,0.385,0.005,0.404,0.012,0.425,0.006,0.445,0.016,0.416,0.018,0.425,0.019,0.478,0.015,0.494,0.024,0.473,0.021,0.488,0.018,0.475,0.032,0.465,0.032,0.04,0.039,-0.020000000000000018,,
Lexicon_ExHuBERT_FinnSentiment,0.651,0.022,0.66,0.012,0.454,0.018,0.461,0.009,0.533,0.011,0.542,0.015,0.546,0.007,0.553,0.008,0.555,0.013,0.561,0.012,0.604,0.005,0.606,0.011,0.511,0.028,0.517,0.031,0.054,0.053,-0.009000000000000008,,
Lingnorm_FinnSentiment_Valence,0.275,0.034,0.3,0.022,0.295,0.04,0.32,0.017,0.247,0.031,0.248,0.018,0.207,0.025,0.239,0.017,0.179,0.017,0.178,0.016,0.239,0.022,0.246,0.016,0.304,0.029,0.315,0.036,0.044,0.051,-0.024999999999999967,0.12200000000000003,0.13899999999999998
ModernBERT_Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,0.667,0.019,0.672,0.024,0.486,0.02,0.497,0.018,0.557,0.021,0.565,0.019,0.564,0.02,0.563,0.02,0.583,0.013,0.591,0.017,0.618,0.015,0.619,0.014,0.547,0.016,0.54,0.015,0.049,0.046,-0.0050000000000000044,,
ModernBERT_Lingnorm_eGeMAPS_FinnSentiment_Valence,0.526,0.027,0.535,0.019,0.393,0.025,0.405,0.016,0.443,0.022,0.436,0.013,0.42,0.028,0.426,0.02,0.479,0.023,0.489,0.017,0.479,0.028,0.48,0.011,0.465,0.039,0.467,0.026,0.037,0.036,-0.009000000000000008,-0.0030000000000000027,0.0020000000000000018
ModernBERT_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,0.658,0.019,0.655,0.02,0.49,0.012,0.48,0.015,0.551,0.011,0.55,0.018,0.556,0.015,0.556,0.008,0.581,0.011,0.583,0.008,0.614,0.015,0.604,0.006,0.544,0.02,0.544,0.01,0.045,0.047,0.0030000000000000027,,
eGeMAPS_FinnSentiment_Valence,0.511,0.034,0.524,0.037,0.376,0.026,0.376,0.026,0.426,0.027,0.431,0.03,0.406,0.029,0.417,0.032,0.492,0.022,0.509,0.026,0.465,0.029,0.475,0.03,0.478,0.028,0.484,0.023,0.046,0.051,-0.013000000000000012,-0.019000000000000017,-0.0030000000000000027
ExHuBERT,0.65,0.016,0.65,0.016,0.445,0.012,0.445,0.012,0.531,0.011,0.531,0.011,0.545,0.015,0.545,0.015,0.562,0.014,0.562,0.014,0.606,0.015,0.606,0.015,0.517,0.021,0.517,0.021,0.059,0.059,0.0,,
ModernBERT_Lexicon_Lingnorm,0.167,0.02,0.199,0.021,0.163,0.011,0.187,0.021,0.146,0.015,0.165,0.014,0.147,0.006,0.168,0.023,0.097,0.016,0.125,0.012,0.181,0.02,0.213,0.013,0.225,0.03,0.215,0.028,0.031,0.032,-0.032,,
ModernBERT_ExHuBERT_FinnSentiment,0.631,0.027,0.656,0.013,0.46,0.021,0.467,0.019,0.525,0.023,0.535,0.024,0.531,0.015,0.54,0.019,0.53,0.013,0.546,0.017,0.587,0.019,0.598,0.018,0.512,0.025,0.508,0.022,0.045,0.047,-0.025000000000000022,,
Lexicon,0.103,0.007,0.093,0.013,0.082,0.003,0.086,0.013,0.088,0.008,0.08,0.008,0.108,0.007,0.09,0.017,0.044,0.004,0.031,0.005,0.127,0.009,0.122,0.011,0.131,0.036,0.141,0.035,0.031,0.033,0.009999999999999995,,
ModernBERT_Lingnorm_eGeMAPS_FinnSentiment,0.529,0.019,0.533,0.022,0.395,0.016,0.414,0.013,0.441,0.012,0.444,0.011,0.427,0.023,0.429,0.026,0.493,0.014,0.492,0.012,0.482,0.015,0.478,0.013,0.465,0.04,0.471,0.033,0.04,0.033,-0.0040000000000000036,,
ModernBERT_eGeMAPS,0.535,0.031,0.528,0.034,0.397,0.022,0.398,0.029,0.445,0.025,0.443,0.026,0.433,0.028,0.427,0.03,0.492,0.016,0.498,0.02,0.474,0.021,0.475,0.03,0.468,0.022,0.473,0.027,0.037,0.039,0.007000000000000006,,
ModernBERT_Lexicon_Lingnorm_ExHuBERT_FinnSentiment,0.62,0.02,0.638,0.021,0.453,0.021,0.462,0.013,0.514,0.014,0.531,0.018,0.52,0.008,0.546,0.013,0.527,0.007,0.547,0.015,0.58,0.009,0.605,0.011,0.509,0.027,0.507,0.026,0.045,0.051,-0.018000000000000016,,
Lexicon_Lingnorm_eGeMAPS_FinnSentiment_Valence,0.526,0.023,0.544,0.019,0.382,0.016,0.39,0.012,0.44,0.02,0.446,0.012,0.414,0.019,0.427,0.011,0.501,0.01,0.507,0.019,0.474,0.015,0.492,0.014,0.49,0.031,0.485,0.03,0.047,0.048,-0.018000000000000016,0.008000000000000007,0.020000000000000018
ModernBERT_ExHuBERT,0.635,0.008,0.646,0.025,0.455,0.017,0.469,0.015,0.525,0.011,0.541,0.018,0.541,0.009,0.546,0.015,0.531,0.007,0.553,0.015,0.589,0.008,0.598,0.013,0.514,0.024,0.506,0.025,0.048,0.046,-0.01100000000000001,,
Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,0.655,0.018,0.681,0.014,0.467,0.022,0.481,0.019,0.542,0.012,0.558,0.019,0.547,0.007,0.564,0.005,0.587,0.013,0.598,0.007,0.606,0.005,0.624,0.008,0.545,0.021,0.548,0.02,0.054,0.054,-0.026000000000000023,,
ModernBERT_Lexicon_FinnSentiment_Valence,0.196,0.013,0.225,0.013,0.205,0.013,0.213,0.009,0.169,0.009,0.175,0.006,0.166,0.015,0.179,0.014,0.1,0.01,0.138,0.007,0.189,0.02,0.219,0.008,0.234,0.035,0.231,0.049,0.04,0.033,-0.028999999999999998,0.02200000000000002,0.026999999999999996
Lingnorm_ExHuBERT_FinnSentiment_Valence,0.658,0.012,0.665,0.006,0.468,0.015,0.47,0.01,0.546,0.013,0.546,0.006,0.553,0.007,0.555,0.006,0.56,0.012,0.558,0.01,0.61,0.008,0.606,0.011,0.531,0.022,0.527,0.017,0.051,0.049,-0.007000000000000006,-0.0050000000000000044,0.02300000000000002
Lexicon_eGeMAPS_FinnSentiment_Valence,0.524,0.034,0.521,0.037,0.372,0.025,0.382,0.03,0.433,0.028,0.436,0.034,0.411,0.025,0.408,0.03,0.502,0.023,0.502,0.019,0.469,0.024,0.466,0.025,0.475,0.018,0.478,0.021,0.05,0.047,0.0030000000000000027,0.01100000000000001,0.007000000000000006
Lexicon_ExHuBERT_FinnSentiment_Valence,0.661,0.009,0.662,0.006,0.466,0.009,0.459,0.006,0.544,0.01,0.536,0.008,0.556,0.004,0.555,0.007,0.561,0.009,0.566,0.006,0.61,0.003,0.616,0.005,0.523,0.03,0.517,0.029,0.052,0.057,-0.0010000000000000009,0.010000000000000009,0.0020000000000000018
ModernBERT_Lingnorm_eGeMAPS,0.542,0.019,0.549,0.013,0.4,0.016,0.407,0.014,0.449,0.013,0.447,0.01,0.432,0.024,0.441,0.005,0.496,0.016,0.502,0.006,0.484,0.02,0.494,0.006,0.474,0.034,0.464,0.027,0.039,0.039,-0.007000000000000006,,
Valence,0.414,0.008,0.414,0.008,0.534,0.011,0.534,0.011,0.386,0.008,0.386,0.008,0.284,0.01,0.284,0.01,0.241,0.004,0.241,0.004,0.244,0.005,0.244,0.005,0.313,0.031,0.313,0.031,0.124,0.124,0.0,,
ModernBERT_ExHuBERT_Valence,0.642,0.027,0.649,0.02,0.468,0.019,0.472,0.011,0.537,0.021,0.538,0.017,0.537,0.013,0.551,0.009,0.533,0.008,0.552,0.009,0.59,0.011,0.603,0.01,0.519,0.024,0.513,0.021,0.043,0.047,-0.007000000000000006,0.007000000000000006,0.0030000000000000027
