,coll-noncoll-GS
ModernBERT_eGeMAPS_FinnSentiment,0.019000000000000017
ModernBERT_Lexicon_Lingnorm_ExHuBERT_Valence,-0.006000000000000005
Lexicon_Lingnorm_eGeMAPS,-0.0020000000000000018
ModernBERT_Lexicon_Lingnorm_ExHuBERT,-0.02400000000000002
ModernBERT_eGeMAPS_FinnSentiment_Valence,0.031000000000000028
ModernBERT_Lexicon_Lingnorm_eGeMAPS_FinnSentiment_Valence,-0.009000000000000008
ModernBERT_Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.0030000000000000027
FinnSentiment,0.012000000000000004
ModernBERT_Lexicon_Lingnorm_eGeMAPS_FinnSentiment,-0.020000000000000018
Lexicon_ExHuBERT_FinnSentiment,-0.009000000000000008
Lingnorm_FinnSentiment_Valence,-0.024999999999999967
ModernBERT_Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,-0.0050000000000000044
ModernBERT_Lingnorm_eGeMAPS_FinnSentiment_Valence,-0.009000000000000008
ModernBERT_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,0.0030000000000000027
eGeMAPS_FinnSentiment_Valence,-0.013000000000000012
ExHuBERT,0.0
ModernBERT_Lexicon_Lingnorm,-0.032
ModernBERT_ExHuBERT_FinnSentiment,-0.025000000000000022
Lexicon,0.009999999999999995
ModernBERT_Lingnorm_eGeMAPS_FinnSentiment,-0.0040000000000000036
ModernBERT_eGeMAPS,0.007000000000000006
ModernBERT_Lexicon_Lingnorm_ExHuBERT_FinnSentiment,-0.018000000000000016
Lexicon_Lingnorm_eGeMAPS_FinnSentiment_Valence,-0.018000000000000016
ModernBERT_ExHuBERT,-0.01100000000000001
Lexicon_Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment,-0.026000000000000023
ModernBERT_Lexicon_FinnSentiment_Valence,-0.028999999999999998
Lingnorm_ExHuBERT_FinnSentiment_Valence,-0.007000000000000006
Lexicon_eGeMAPS_FinnSentiment_Valence,0.0030000000000000027
Lexicon_ExHuBERT_FinnSentiment_Valence,-0.0010000000000000009
ModernBERT_Lingnorm_eGeMAPS,-0.007000000000000006
Valence,0.0
ModernBERT_ExHuBERT_Valence,-0.007000000000000006
